sample,expansions (600s)
fukunaga_rovers_p33_dfs_fs_500x200,1111000
fukunaga_rovers_p34_dfs_fs_500x200,897000
fukunaga_rovers_p35_dfs_fs_500x200,874000
fukunaga_rovers_p36_dfs_fs_500x200,836000
fukunaga_rovers_p37_dfs_fs_500x200,787000
fukunaga_rovers_p38_dfs_fs_500x200,713000
fukunaga_rovers_p39_dfs_fs_500x200,866000
fukunaga_rovers_p40_dfs_fs_500x200,610000
fukunaga_scanalyzer-opt11-strips_p01_dfs_fs_500x200,564000
fukunaga_scanalyzer-opt11-strips_p02_dfs_fs_500x200,27115000
fukunaga_scanalyzer-opt11-strips_p03_dfs_fs_500x200,26601000
fukunaga_scanalyzer-opt11-strips_p04_dfs_fs_500x200,17637000
fukunaga_scanalyzer-opt11-strips_p05_dfs_fs_500x200,2822000
fukunaga_scanalyzer-opt11-strips_p06_dfs_fs_500x200,24551000
fukunaga_scanalyzer-opt11-strips_p07_dfs_fs_500x200,447000
fukunaga_scanalyzer-opt11-strips_p08_dfs_fs_500x200,1390000
fukunaga_scanalyzer-opt11-strips_p09_dfs_fs_500x200,871000
fukunaga_scanalyzer-opt11-strips_p10_dfs_fs_500x200,643000
fukunaga_scanalyzer-opt11-strips_p11_dfs_fs_500x200,15791000
fukunaga_scanalyzer-opt11-strips_p12_dfs_fs_500x200,24274000
fukunaga_scanalyzer-opt11-strips_p13_dfs_fs_500x200,26586000
fukunaga_scanalyzer-opt11-strips_p14_dfs_fs_500x200,24790000
fukunaga_scanalyzer-opt11-strips_p15_dfs_fs_500x200,5009000
fukunaga_scanalyzer-opt11-strips_p16_dfs_fs_500x200,2747000
fukunaga_scanalyzer-opt11-strips_p17_dfs_fs_500x200,1787000
fukunaga_scanalyzer-opt11-strips_p18_dfs_fs_500x200,1224000
fukunaga_scanalyzer-opt11-strips_p19_dfs_fs_500x200,951000
fukunaga_scanalyzer-opt11-strips_p20_dfs_fs_500x200,2654000
fukunaga_storage_p01_dfs_fs_500x200,105000
fukunaga_storage_p02_dfs_fs_500x200,105000
fukunaga_storage_p03_dfs_fs_500x200,124000
fukunaga_storage_p04_dfs_fs_500x200,1305000
fukunaga_storage_p05_dfs_fs_500x200,3987000
fukunaga_storage_p06_dfs_fs_500x200,6307000
fukunaga_storage_p07_dfs_fs_500x200,10653000
fukunaga_storage_p08_dfs_fs_500x200,17362000
fukunaga_storage_p09_dfs_fs_500x200,15226000
fukunaga_storage_p10_dfs_fs_500x200,20276000
fukunaga_storage_p11_dfs_fs_500x200,19444000
fukunaga_storage_p12_dfs_fs_500x200,17035000
fukunaga_storage_p13_dfs_fs_500x200,20509000
fukunaga_storage_p14_dfs_fs_500x200,17443000
fukunaga_storage_p15_dfs_fs_500x200,13457000
fukunaga_storage_p16_dfs_fs_500x200,10066000
fukunaga_storage_p17_dfs_fs_500x200,9131000
fukunaga_storage_p18_dfs_fs_500x200,8352000
fukunaga_storage_p19_dfs_fs_500x200,6464000
fukunaga_storage_p20_dfs_fs_500x200,5620000
fukunaga_storage_p21_dfs_fs_500x200,5994000
fukunaga_storage_p22_dfs_fs_500x200,5468000
fukunaga_storage_p23_dfs_fs_500x200,4902000
fukunaga_storage_p24_dfs_fs_500x200,4851000
fukunaga_storage_p25_dfs_fs_500x200,4605000
fukunaga_storage_p26_dfs_fs_500x200,3603000
fukunaga_storage_p27_dfs_fs_500x200,3737000
fukunaga_storage_p28_dfs_fs_500x200,3239000
fukunaga_storage_p29_dfs_fs_500x200,3510000
fukunaga_storage_p30_dfs_fs_500x200,3042000
fukunaga_transport-opt14-strips_p01_dfs_fs_500x200,23270000
fukunaga_transport-opt14-strips_p02_dfs_fs_500x200,22424000
fukunaga_transport-opt14-strips_p03_dfs_fs_500x200,18574000
fukunaga_transport-opt14-strips_p04_dfs_fs_500x200,13521000
fukunaga_transport-opt14-strips_p05_dfs_fs_500x200,11699000
fukunaga_transport-opt14-strips_p06_dfs_fs_500x200,13486000
fukunaga_transport-opt14-strips_p07_dfs_fs_500x200,25129000
fukunaga_transport-opt14-strips_p08_dfs_fs_500x200,22511000
fukunaga_transport-opt14-strips_p09_dfs_fs_500x200,15319000
fukunaga_transport-opt14-strips_p10_dfs_fs_500x200,15165000
fukunaga_transport-opt14-strips_p11_dfs_fs_500x200,12532000
fukunaga_transport-opt14-strips_p12_dfs_fs_500x200,13692000
fukunaga_transport-opt14-strips_p13_dfs_fs_500x200,17999000
fukunaga_transport-opt14-strips_p14_dfs_fs_500x200,16141000
fukunaga_transport-opt14-strips_p15_dfs_fs_500x200,14983000
fukunaga_transport-opt14-strips_p16_dfs_fs_500x200,13180000
fukunaga_transport-opt14-strips_p17_dfs_fs_500x200,13401000
fukunaga_transport-opt14-strips_p18_dfs_fs_500x200,13056000
fukunaga_transport-opt14-strips_p19_dfs_fs_500x200,12535000
fukunaga_transport-opt14-strips_p20_dfs_fs_500x200,12514000
fukunaga_visitall-opt14-strips_p-05-10_dfs_fs_500x200,14676000
fukunaga_visitall-opt14-strips_p-05-5_dfs_fs_500x200,25799000
fukunaga_visitall-opt14-strips_p-05-6_dfs_fs_500x200,27316000
fukunaga_visitall-opt14-strips_p-05-7_dfs_fs_500x200,19652000
fukunaga_visitall-opt14-strips_p-05-8_dfs_fs_500x200,16231000
fukunaga_visitall-opt14-strips_p-05-9_dfs_fs_500x200,14101000
fukunaga_visitall-opt14-strips_p-1-10_dfs_fs_500x200,10670000
fukunaga_visitall-opt14-strips_p-1-11_dfs_fs_500x200,10160000
fukunaga_visitall-opt14-strips_p-1-12_dfs_fs_500x200,9243000
fukunaga_visitall-opt14-strips_p-1-13_dfs_fs_500x200,9446000
fukunaga_visitall-opt14-strips_p-1-14_dfs_fs_500x200,9178000
fukunaga_visitall-opt14-strips_p-1-15_dfs_fs_500x200,8943000
fukunaga_visitall-opt14-strips_p-1-16_dfs_fs_500x200,8832000
fukunaga_visitall-opt14-strips_p-1-17_dfs_fs_500x200,8750000
fukunaga_visitall-opt14-strips_p-1-18_dfs_fs_500x200,8610000
fukunaga_visitall-opt14-strips_p-1-5_dfs_fs_500x200,24605000
fukunaga_visitall-opt14-strips_p-1-6_dfs_fs_500x200,14220000
fukunaga_visitall-opt14-strips_p-1-7_dfs_fs_500x200,12366000
fukunaga_visitall-opt14-strips_p-1-8_dfs_fs_500x200,11502000
fukunaga_visitall-opt14-strips_p-1-9_dfs_fs_500x200,10901000
fukunaga_scanalyzer-sat11-strips_p01_dfs_fs_500x200,15594000
fukunaga_scanalyzer-sat11-strips_p02_dfs_fs_500x200,1414000
fukunaga_scanalyzer-sat11-strips_p03_dfs_fs_500x200,24133000
fukunaga_scanalyzer-sat11-strips_p04_dfs_fs_500x200,8113000
fukunaga_scanalyzer-sat11-strips_p05_dfs_fs_500x200,871000
fukunaga_scanalyzer-sat11-strips_p06_dfs_fs_500x200,25023000
fukunaga_scanalyzer-sat11-strips_p07_dfs_fs_500x200,622000
fukunaga_scanalyzer-sat11-strips_p08_dfs_fs_500x200,25855000
fukunaga_scanalyzer-sat11-strips_p09_dfs_fs_500x200,3902000
fukunaga_scanalyzer-sat11-strips_p10_dfs_fs_500x200,1765000
fukunaga_scanalyzer-sat11-strips_p11_dfs_fs_500x200,2182000
fukunaga_scanalyzer-sat11-strips_p12_dfs_fs_500x200,2630000
fukunaga_scanalyzer-sat11-strips_p13_dfs_fs_500x200,4826000
fukunaga_scanalyzer-sat11-strips_p14_dfs_fs_500x200,1173000
fukunaga_scanalyzer-sat11-strips_p15_dfs_fs_500x200,1589000
fukunaga_scanalyzer-sat11-strips_p16_dfs_fs_500x200,927000
fukunaga_scanalyzer-sat11-strips_p17_dfs_fs_500x200,1060000
fukunaga_scanalyzer-sat11-strips_p18_dfs_fs_500x200,2514000
fukunaga_scanalyzer-sat11-strips_p19_dfs_fs_500x200,3553000
fukunaga_scanalyzer-sat11-strips_p20_dfs_fs_500x200,4484000
fukunaga_depot_p01_dfs_fs_500x200,6207000
fukunaga_depot_p02_dfs_fs_500x200,21613000
fukunaga_depot_p03_dfs_fs_500x200,25567000
fukunaga_depot_p04_dfs_fs_500x200,17312000
fukunaga_depot_p05_dfs_fs_500x200,15968000
fukunaga_depot_p06_dfs_fs_500x200,14076000
fukunaga_depot_p07_dfs_fs_500x200,19611000
fukunaga_depot_p08_dfs_fs_500x200,12569000
fukunaga_depot_p09_dfs_fs_500x200,11100000
fukunaga_depot_p10_dfs_fs_500x200,16466000
fukunaga_depot_p11_dfs_fs_500x200,12782000
fukunaga_depot_p12_dfs_fs_500x200,12083000
fukunaga_depot_p13_dfs_fs_500x200,13885000
fukunaga_depot_p14_dfs_fs_500x200,11385000
fukunaga_depot_p15_dfs_fs_500x200,9816000
fukunaga_depot_p16_dfs_fs_500x200,11397000
fukunaga_depot_p17_dfs_fs_500x200,7919000
fukunaga_depot_p18_dfs_fs_500x200,6538000
fukunaga_depot_p19_dfs_fs_500x200,9096000
fukunaga_depot_p20_dfs_fs_500x200,7706000
fukunaga_depot_p21_dfs_fs_500x200,2821000
fukunaga_depot_p22_dfs_fs_500x200,2631000
