sample,epochs (1800s)
fukunaga_scanalyzer-opt11-strips_p11_dfs_fs_500x200,970
fukunaga_scanalyzer-opt11-strips_p12_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p13_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p14_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p15_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p16_dfs_fs_500x200,920
fukunaga_scanalyzer-opt11-strips_p17_dfs_fs_500x200,930
fukunaga_scanalyzer-opt11-strips_p18_dfs_fs_500x200,940
fukunaga_scanalyzer-opt11-strips_p19_dfs_fs_500x200,870
fukunaga_scanalyzer-opt11-strips_p20_dfs_fs_500x200,980
fukunaga_storage_p01_dfs_fs_500x200,2620
fukunaga_storage_p02_dfs_fs_500x200,850
fukunaga_storage_p03_dfs_fs_500x200,800
fukunaga_storage_p04_dfs_fs_500x200,820
fukunaga_storage_p05_dfs_fs_500x200,810
fukunaga_storage_p06_dfs_fs_500x200,840
fukunaga_storage_p07_dfs_fs_500x200,840
fukunaga_storage_p08_dfs_fs_500x200,840
fukunaga_storage_p09_dfs_fs_500x200,830
fukunaga_storage_p10_dfs_fs_500x200,840
fukunaga_storage_p11_dfs_fs_500x200,810
fukunaga_storage_p12_dfs_fs_500x200,820
fukunaga_storage_p13_dfs_fs_500x200,810
fukunaga_storage_p14_dfs_fs_500x200,840
fukunaga_storage_p15_dfs_fs_500x200,800
fukunaga_storage_p16_dfs_fs_500x200,790
fukunaga_storage_p17_dfs_fs_500x200,770
fukunaga_storage_p18_dfs_fs_500x200,760
fukunaga_storage_p19_dfs_fs_500x200,710
fukunaga_storage_p20_dfs_fs_500x200,720
fukunaga_storage_p21_dfs_fs_500x200,630
fukunaga_storage_p22_dfs_fs_500x200,680
fukunaga_storage_p23_dfs_fs_500x200,690
fukunaga_storage_p24_dfs_fs_500x200,660
fukunaga_storage_p25_dfs_fs_500x200,610
fukunaga_storage_p26_dfs_fs_500x200,620
fukunaga_storage_p27_dfs_fs_500x200,610
fukunaga_storage_p28_dfs_fs_500x200,550
fukunaga_storage_p29_dfs_fs_500x200,540
fukunaga_storage_p30_dfs_fs_500x200,540
fukunaga_transport-opt14-strips_p01_dfs_fs_500x200,840
